Gene	sample 1	sample 2	sample 3	sample 4	sample 5	sample 6	sample 7	sample 8	sample 9	sample 10	sample 11	sample 12
ARHGAP33	530	531	609	514	578	514	508	519	366	467	364	451
NDUFAB1	22767	26978	19827	21750	30211	32328	28756	34951	28859	30294	30705	34274
PDK4	3	1	14	1	17	21	12	22	14	24	18	43
SLC22A16	128	119	115	73	96	72	104	50	106	86	93	107
ZMYND10	55	40	44	54	49	39	56	53	56	47	43	47
ABCB5	9	3	1	2	2	3	7	4	1	2	1	1
ARX	133	150	168	135	146	141	175	140	164	159	153	231
SLC25A13	4477	4965	3107	2911	5583	6384	5568	6649	5428	6456	5807	7565
ST7	2285	1950	1920	1114	2247	1541	1785	1350	1876	1313	1850	1166
CDC27	3576	3646	2862	2207	5161	5131	5385	5291	4833	5975	5408	8106
SLC4A1	7	14	14	12	11	15	25	4	17	9	13	16
CALCR	132	81	221	99	132	101	112	111	119	153	167	171
HCCS	4926	4608	4683	4116	5935	5762	6402	6194	6273	5627	5793	6097
DVL2	4120	4390	4581	4351	3116	3827	3827	4112	3388	3949	3185	4543
PRSS22	2111	1518	1569	946	1607	1370	1310	1180	1126	1076	1158	1107
UPF1	8225	9933	8934	9949	7022	9550	7843	9435	6534	9482	6762	9886
SKAP2	2472	2429	1753	1289	3124	3285	2916	3348	3074	3461	3294	4567
SLC25A5	108217	134049	86012	106358	132234	181891	141395	199725	116458	160609	131520	197699
MCUB	3423	3232	2811	2363	4030	3815	3986	4095	3371	3975	4333	4921
HOXA11	158	159	126	92	84	76	133	124	82	105	126	107
POLR2J	35548	26852	48688	37153	39383	24705	42057	28787	38426	26372	34017	22461
DHX33	2529	2562	2507	1745	3185	2415	2805	2283	2889	2721	3047	3315
MEOX1	0	0	0	1	0	0	0	0	0	0	0	0
THSD7A	2	3	3	5	3	1	15	3	11	4	4	3
LIG3	1905	2092	2038	1907	1728	2033	1750	2037	1760	1880	1601	2188
RPAP3	3270	3268	2448	2062	3889	4426	3547	4543	3711	4913	4159	6400
ACSM3	60	50	77	48	51	66	18	51	89	45	59	60
REXO5	1773	1702	2017	1728	2543	2438	2644	2710	2484	2623	2318	2446
CIAPIN1	5488	6157	5589	6315	6321	6875	6160	7418	6307	6988	6236	7403
SPPL2B	666	851	700	535	552	572	400	378	303	410	390	474
FAM214B	451	520	660	481	771	630	905	805	622	554	642	696
COPZ2	454	427	413	327	654	484	636	590	618	508	575	551
PRKAR2B	1243	1179	870	704	1292	1351	1485	1327	1210	1280	1355	2624
MSL3	1240	1322	1043	1075	1411	1428	1564	1581	1465	1591	1469	1815
CREBBP	4306	5353	3645	3394	3887	4315	4081	3608	3719	4229	3511	5511
TSPOAP1	4	0	1	2	0	2	0	1	0	0	0	1
MPO	0	0	2	0	0	2	0	0	1	0	0	4
PON1	0	0	0	1	0	0	0	1	0	0	1	0
GCFC2	880	876	789	672	927	898	972	1023	1069	1176	1295	1557
WDR54	4208	3298	3899	3545	5562	4555	5196	4229	4365	3572	4616	3557
CROT	1600	1238	1675	1087	2026	1842	2095	1981	1726	1655	2113	2371
ABCB4	161	107	153	103	96	106	174	105	153	96	145	136
KMT2E	2932	3962	2085	2212	3380	3586	3165	3532	3418	4377	3537	4609
RHBDD2	6129	4246	6352	4222	5659	3593	4808	2991	4466	3140	5029	3145
SOX8	19	22	15	15	7	10	16	7	3	11	10	20
IBTK	3039	3000	2564	1568	3484	3641	3785	3667	3445	4431	4760	6988
ZNF195	1171	1159	1207	864	1463	1325	1419	1498	1679	1595	1575	1734
MYCBP2	1325	1947	759	1025	1538	2232	1428	2020	1428	2028	1368	2237
FBXL3	1191	1155	892	706	1441	1470	1371	1305	1466	1643	1556	2629
ITGAL	23	11	20	13	17	29	31	23	13	6	11	12
PDK2	1763	2014	2044	2320	2212	2826	2183	2651	2103	2324	1760	2520
ITGA3	3883	4106	3191	3239	2354	2620	1845	1840	1566	1900	1608	2035
ZFX	996	1150	818	697	1195	1085	1249	1038	1175	1113	1190	1411
LAMP2	3368	1822	2087	857	2760	2141	2067	1393	1995	1565	2783	2304
ITGA2B	187	215	286	217	331	378	243	255	267	326	229	288
ASB4	20	17	19	11	26	16	12	17	10	22	24	21
GDE1	8254	5666	6709	3856	9543	5741	8316	4719	7329	4665	7566	4323
C19orf60	2489	2923	3856	3287	3641	3214	3350	3123	2443	2211	2289	2484
CRLF1	1059	756	980	640	725	578	604	423	584	480	685	459
OSBPL7	859	726	794	638	949	921	768	861	742	798	679	768
TMEM98	11	18	16	1	11	13	12	10	13	10	7	4
YBX2	5514	6358	7206	7782	7276	7831	6547	7181	7332	7348	6111	7040
KRT33A	3	2	1	0	0	0	1	0	0	3	1	0
MAP3K14	1043	996	994	977	812	704	852	860	797	947	790	872
ABCC8	109	139	110	75	119	94	112	126	70	103	89	99
CACNG3	0	1	2	0	0	0	1	1	1	0	1	0
TMEM132A	5140	5877	4675	4810	4068	5212	2642	3100	2521	3250	2145	3233
AP2B1	5700	6295	5410	5381	6984	7128	7046	7389	6146	6845	5679	6822
TAC1	2	0	0	0	0	0	0	0	0	0	0	0
ZNF263	4655	4550	5026	4321	4555	4286	4390	4087	4159	4035	3928	3865
CX3CL1	8	11	9	8	5	2	0	0	3	6	10	6
SPATA20	8617	9237	9721	10036	7390	7521	7703	7954	6556	6805	6182	7159
CACNA1G	20	16	14	10	7	5	8	10	17	18	17	18
TNFRSF12A	23243	16202	23433	16282	14369	10043	13403	9392	13618	11207	15191	11180
DLX6	0	0	0	1	1	0	1	0	0	0	0	0
MAP3K9	2703	3772	2317	2765	2337	3088	2422	3318	2585	3385	2731	4150
RALA	6593	6859	7041	6652	7293	6799	8448	8113	8528	8201	8735	9474
BAIAP2L1	4091	4113	4271	4037	4014	4507	4160	4661	4528	4736	4167	4966
KDM7A	158	186	206	123	170	177	196	175	187	210	171	271
ETV1	1	2	0	0	2	2	0	0	2	1	0	2
AGK	2925	2894	2861	2401	2731	2797	2644	2684	2696	2873	2729	2838
ALDH3B1	452	456	515	619	306	322	238	320	251	265	218	293
TTC22	99	107	124	135	83	86	72	104	86	98	96	99
PHTF2	941	673	621	301	1135	817	978	582	948	856	1083	1383
CCL26	3	5	6	6	19	9	12	14	11	9	10	2
FARP2	1022	1227	1228	999	1376	1472	1387	1463	1352	1548	1403	1835
USH1C	1	4	0	4	2	0	0	1	0	4	1	1
GGCT	44433	43449	49994	42878	57105	50827	61861	63968	59414	57834	66881	64508
DBF4	5723	5430	4885	3554	7501	7218	7551	7395	7951	9392	8859	11922
TBXA2R	17	22	40	27	39	9	38	12	22	20	21	30
IFRD1	7176	7306	5890	4356	6136	5628	5987	5980	6919	7310	7745	8404
LGALS14	1	1	2	4	0	1	0	5	3	6	1	3
COX10	1771	1557	2207	1803	1712	1330	1774	1360	1876	1583	1959	1720
GTF2IRD1	3017	3152	3269	3048	2495	3266	2729	3593	2745	3437	2251	3121
PAF1	12920	14015	14525	15579	13336	18316	15094	19604	13622	15218	11606	16672
VPS41	1450	1535	1349	1037	1557	1852	1735	1904	1575	1931	1844	2582
ARHGAP44	736	836	902	704	795	914	1054	1006	843	867	738	1020
ELAC2	7291	7491	7231	6916	5575	6275	5426	6375	5164	5552	5196	6117
SCIN	1332	1523	261	257	441	503	341	419	507	625	437	617
ARSD	2069	1732	1662	1229	1859	1347	1302	922	1199	938	1374	956
PNPLA4	952	699	948	676	914	515	1031	706	956	709	1115	777
MYH13	0	0	0	1	0	0	2	0	0	0	2	0
ADIPOR2	44909	42185	41567	33486	37383	29247	30887	25749	26828	22430	30829	24985
CDKL3	185	168	141	131	134	139	144	118	163	165	204	226
UPP2	13	10	27	16	18	11	27	13	58	13	23	13
PRSS21	3	3	0	0	0	0	3	1	0	0	1	0
MARK4	1904	2313	2518	2511	1890	1935	1955	2176	1708	1968	1683	2051
PROM1	1	0	2	4	5	1	8	6	1	4	3	4
CCDC124	13548	15853	17529	20203	12541	14542	14428	15219	12033	13919	10994	14956
CEACAM21	4	11	6	4	6	2	22	11	8	1	5	13
PAFAH1B1	9833	11457	9273	9636	12107	13891	12340	15083	12921	14546	12110	15921
NOS2	2	5	2	2	0	2	0	0	0	0	3	5
DNAH9	1	5	6	2	0	0	1	1	1	1	4	1
KIAA0100	20843	28951	20084	25839	19840	24140	19430	22831	17023	19493	16338	21598
SLC13A2	3	0	13	2	12	0	5	1	0	1	2	2
GAS7	3	6	2	2	1	2	5	4	1	7	2	1
TRAPPC6A	2975	3564	4219	4834	3481	4361	3945	4398	3343	4090	3502	4778
MATK	3838	4202	4567	4805	2921	3556	3630	4225	2741	3640	2890	4096
CEACAM7	14	23	26	27	47	23	49	38	22	31	47	33
CD79B	0	1	0	1	1	0	0	0	0	3	1	0
SCN4A	1	1	4	0	9	2	0	0	0	1	2	0
ST7L	1011	816	1065	593	1246	823	1198	767	1054	882	1209	877
TKTL1	0	0	0	0	0	0	2	0	2	0	0	1
PAX6	6	8	3	3	10	8	2	4	1	2	6	1
RPUSD1	7800	9905	9671	11949	6852	9296	7871	9595	6558	9040	6297	10107
RHBDF1	4034	4927	3840	3879	3696	4160	2619	3611	2803	3618	2763	3577
LUC7L	8032	8147	11070	10217	7849	8955	8607	10057	8409	9270	8231	10924
CACNA2D2	152	150	105	87	119	94	57	91	69	68	74	101
BAIAP3	248	333	334	363	305	424	304	438	283	344	294	400
TSR3	9867	11521	9785	11488	9472	11049	9947	12067	8979	10689	8517	11357
PIGQ	1934	1942	2270	2193	1974	2320	1739	1755	1209	1272	1435	1600
CRAMP1	2374	3401	1954	2007	2047	2873	1816	2391	2001	2852	1943	2893
TEAD3	3399	4090	3332	3564	3290	4122	3039	3973	2938	3950	2834	3945
SELE	9	0	1	0	2	0	6	0	0	1	0	0
DNAJC11	5650	6367	6476	7074	4797	6253	5757	6971	4816	6459	4670	6911
FMO3	6	2	3	2	5	1	1	3	0	0	3	2
MYLIP	1249	1080	781	570	1456	1306	1494	1422	1373	1516	1451	1811
NOX1	60	34	63	31	28	26	68	25	44	65	46	112
E2F2	2886	3458	3187	3476	2669	3001	3163	3309	3157	3557	2719	3523
PSMB1	37625	41487	46080	49118	44584	55074	44054	58698	42886	51010	46150	53634
SYN1	29	45	34	45	21	31	23	24	18	36	28	34
JARID2	1526	1839	1761	1692	1595	1847	1629	1618	1591	1954	1714	2378
CDKL5	311	408	260	207	384	333	338	328	330	364	348	463
CAMK1G	1	1	2	0	0	1	0	0	0	0	2	0
CDK11A	3434	3899	4294	4026	3517	4097	3608	4197	3551	4113	3060	3909
NADK	7716	7798	7884	7186	7824	7303	8754	8801	7233	7975	7884	8948
TFAP2B	10	1	0	1	2	5	4	3	14	1	3	3
TFAP2D	0	0	0	0	0	0	0	0	0	0	0	0
DLEC1	8	5	21	13	7	3	17	5	4	9	14	12
CYTH3	666	799	518	574	590	653	628	721	560	674	581	784
ADAM22	316	315	224	122	296	270	282	206	264	237	291	256
SYPL1	6535	4337	2700	989	6442	4913	5294	3028	4424	3570	6463	5564
CYB561	22661	20158	21658	17657	26292	20187	20681	16253	21873	17862	20547	15788
SPAG9	2745	3311	1768	1728	3487	4529	3253	4290	3833	4941	3791	6454
CELSR3	1709	1690	1854	1637	1073	1294	1119	1092	986	1055	1000	1255
AASS	0	0	2	1	0	0	0	1	0	0	3	2
PLEKHG6	1338	1471	1545	1532	1570	1657	1559	1804	1445	1536	1313	1606
SS18L2	2515	2055	3344	2482	3474	2411	3822	2940	3696	3082	4008	3530
MPND	1859	1946	2626	2764	2385	2568	2936	2815	2246	2403	2084	2580
MGST1	22586	16547	17760	10179	26038	16765	21738	12378	21315	14864	21801	14911
CRY1	911	977	437	456	1574	1971	1824	2240	1239	1594	1369	2009
PGLYRP1	1	1	0	3	0	0	0	0	0	0	0	0
NFIX	1009	1480	1038	1035	1169	1484	1362	1423	1036	1354	1006	1862
ST3GAL1	8081	8594	7780	6753	5470	4936	4971	4656	4813	4807	4741	5015
MMP25	176	169	143	151	128	166	112	156	107	102	116	139
IL32	158	164	274	283	87	96	84	115	103	98	117	148
PKD1	1622	2028	1351	1591	1221	1846	1090	1275	951	1391	925	1456
MAPK8IP2	821	1069	877	1041	695	930	818	948	844	1135	915	1355
MED24	3318	3829	3217	3465	2705	3229	2466	2920	2482	2673	2084	2815
RHOBTB2	2070	2758	2845	3146	1727	2305	2047	2679	1996	2450	1691	2650
HEATR5B	852	1133	759	634	1029	1148	918	1090	1113	1263	1100	1308
SEC62	5734	4011	5046	2770	7206	4479	7288	4037	6826	4754	7745	5786
RPS20	106228	94316	146063	133360	156165	121255	165046	140058	165383	115049	134176	108297
CSDE1	119227	129691	122081	122134	146552	157421	149473	162408	144102	156582	135615	167035
UBE3C	8639	10185	7836	7591	8297	9486	8952	9606	7821	9391	8453	10766
REV3L	1640	2192	1009	1027	2206	2700	2081	2675	2088	2944	2384	4489
TENM1	4	1	0	0	0	0	8	0	2	3	2	1
PAX7	2	1	2	0	1	0	0	1	0	0	1	0
MASP2	14	21	8	13	2	5	0	6	14	4	8	6
IYD	29	13	26	7	14	15	32	9	27	18	22	12
FAM76A	445	393	373	312	481	429	452	408	435	479	548	615
TRAF3IP3	47	58	38	42	34	44	47	26	33	26	29	25
POMT2	2587	2575	1968	1680	2063	2088	1827	1795	1491	1670	1727	1737
VTA1	4705	5032	4738	4461	6013	6432	6052	6685	5933	7835	6871	10408
MLXIPL	501	535	520	351	358	466	419	405	348	455	355	471
BAZ1B	9268	12346	11088	11080	9805	11700	10445	11609	10474	12398	9542	13708
RANBP9	6983	7477	4860	4516	7316	8219	7412	8535	6889	8740	7162	10619
ETV7	33	49	113	115	69	98	177	115	73	98	126	183
SPRTN	1191	1226	1338	1138	1571	1746	1796	1785	1426	1719	1669	2225
METTL13	9154	10862	7111	8089	10211	13167	9825	13176	8921	11354	9163	12504
DYRK4	798	757	998	922	823	774	948	808	807	819	752	774
ZNF207	12331	14732	10887	12617	14258	17069	13121	17566	13724	17784	14938	20856
UQCRC1	23110	21362	22121	22763	14943	15831	13904	15475	11030	12308	12911	15041
STARD3NL	1326	977	1073	721	1337	984	1352	966	1418	1232	1611	1135
CD9	24228	16299	13341	8648	26998	21350	21907	14027	18175	13530	19406	13618
HHATL	0	1	1	0	0	0	0	0	0	0	0	0
NCAPD2	10511	11899	10162	10354	12338	14525	11597	13577	10204	11746	8256	11164
IFFO1	10	11	24	3	12	4	7	3	9	6	7	7
GIPR	12	11	16	19	17	29	23	29	26	26	12	19
PHF7	99	76	125	81	113	128	164	124	83	135	89	91
SEMA3G	45	41	29	36	19	13	30	16	20	24	15	17
NISCH	2894	3093	3192	3095	2838	2848	3173	3331	2644	3057	2836	3235
STAB1	7	2	7	7	2	3	4	2	15	5	1	8
FUZ	708	720	993	1125	906	958	961	1030	712	787	735	876
SLC6A13	0	1	0	0	0	0	0	1	0	1	3	2
IDS	10373	5585	10607	4054	7685	2656	8688	2944	7802	4049	8285	3554
PRSS3	0	0	0	5	0	0	0	0	0	0	0	0
ZNF200	921	943	890	745	1241	1218	1130	1415	1223	1557	1376	1669
CD4	1	4	0	0	11	3	3	1	0	3	1	2
LRRC23	1175	1206	1624	1524	1360	1301	1603	1581	1168	1154	1168	1198
BTK	39	35	30	33	65	20	13	30	34	41	69	52
HFE	224	157	230	127	244	160	189	148	179	166	224	150
SCMH1	1459	1402	1667	1244	1611	1170	2015	1361	1478	1265	1399	1143
FYN	106	97	83	72	63	106	128	105	87	109	100	130
HIVEP2	956	1161	822	711	964	942	898	843	891	1030	827	1112
FMO1	2	4	3	3	18	9	9	8	15	5	9	9
ELOA	6296	6765	6729	6254	6550	6328	7037	6712	6581	6866	6505	6886
LYPLA2	6845	7700	7947	9090	6734	7624	7735	9357	6262	7156	6113	8359
CLCN6	634	675	513	383	521	438	418	427	489	479	484	490
MRC2	264	268	316	334	226	284	183	246	246	280	218	279
NME1-NME2	414	700	435	827	649	884	1923	1539	1089	1022	587	849
SLC6A7	0	1	0	0	0	0	0	0	0	0	0	0
TSPAN9	1673	1493	1211	906	1376	1218	1031	792	1079	1028	1080	980
BTBD7	3065	3294	3011	2055	3006	2536	3007	2500	2708	2878	3032	3949
APBA3	493	563	520	639	435	639	435	632	429	589	415	631
MKS1	3167	3666	3798	3839	3097	3819	3566	4031	3207	3610	2857	3701
ABHD5	1894	2293	1869	1981	2256	2168	2017	2711	2109	2458	2416	2764
ANOS1	78	57	81	34	115	74	122	49	72	53	86	71
AKAP8L	6653	6855	6473	5600	5789	5889	6314	6460	6035	6418	5489	6315
MBTD1	966	1005	819	469	1497	1353	1639	1356	1417	1648	1686	2256
UTP18	7809	8261	6435	6166	9660	10989	9040	11576	9861	11851	10238	13646
RNF216	5029	5985	5030	5558	4460	5390	4859	5793	4440	5470	4139	6009
TTC19	3949	4213	3594	2398	4853	4574	4544	4962	4380	5398	5560	6360
PTBP1	26456	27582	32423	27982	25657	28155	29929	29060	25811	28629	24593	31232
DPF1	443	449	368	349	480	486	479	516	433	505	394	608
SYT7	2960	3112	2484	2603	2760	3006	2520	2430	2088	2353	1938	2329
LARS2	1921	1746	1362	1117	1076	777	889	820	904	864	1052	934
PIK3C2A	1241	1309	976	650	1485	1875	1536	1598	1487	1792	1690	3063
PLAUR	540	411	641	439	417	321	348	332	464	370	438	385
ANLN	4894	4966	2642	1812	5734	5520	4648	4850	4814	5172	4915	6207
WIZ	7283	7228	7415	6643	6067	5798	6366	5786	5621	6060	5552	6727
RABGAP1	3341	4185	3010	2638	4048	4219	3790	4141	3749	4249	3835	4636
DCN	8	8	5	0	1	1	7	3	3	6	3	6
QPCTL	639	462	626	333	579	460	490	265	426	329	395	294
PPP5C	9529	11537	9788	11733	8939	11838	9449	13095	8430	10332	7707	10993
CEP68	1043	1093	1088	1142	1282	1316	1145	1303	1296	1533	1277	1758
MAP4K3	1160	1151	598	361	1546	1680	1694	1549	1396	1818	1612	3051
ZBTB32	14	21	13	9	3	15	1	13	1	10	14	5
TYROBP	1	0	0	2	0	0	0	0	0	0	1	0
TMEM159	2244	1917	2009	1493	2361	1688	2701	1816	2460	2130	2741	2584
GABRA3	0	1	1	3	1	5	0	2	0	0	0	0
BRCA1	2767	3631	2693	2243	3385	3938	4109	4411	3455	4095	3712	5007
ERCC1	2805	2734	3221	3522	3538	3357	4070	3856	2835	2704	2782	2810
CD22	96	102	94	98	72	55	80	59	34	45	53	40
SEMA3B	1350	1461	1605	1236	731	830	481	494	545	550	459	568
MBTPS2	581	501	278	133	566	514	397	351	445	388	648	654
PRICKLE3	2532	2817	3137	3174	2176	2579	2390	2610	2075	2592	1955	2888
LTF	15	8	26	20	21	22	39	23	10	14	13	14
EXTL3	839	933	811	717	696	725	511	518	590	671	567	614
NR1H4	2	6	5	1	3	3	4	2	2	5	7	6
ELOVL5	3245	2443	1849	1143	3024	2472	2345	1644	2168	1835	2639	2518
ALOX5	0	1	1	3	1	7	0	0	0	2	3	2
KDM5D	3	1	3	0	6	0	0	1	6	2	0	4
CALCOCO1	320	387	426	437	567	640	484	665	389	471	381	501
UBR7	12977	13447	12732	11131	15119	15164	15943	17720	14612	16289	15697	18370
MAP4K5	2689	2729	1822	1315	2910	2939	3152	2944	2787	3508	3427	5539
EHD3	1352	1784	1484	1855	1333	1660	1396	1714	1267	1658	1254	1611
PSMC4	28065	31099	33616	39062	28360	35837	30783	37951	27437	30578	22381	29040
MAN2B2	2691	2471	1841	1428	2426	2088	1879	1667	1710	1558	1938	1696
SLC7A14	5	9	8	6	2	4	4	3	1	7	4	12
CLDN11	82	61	125	80	111	84	133	76	111	65	62	58
SLC25A39	60726	56633	67126	63441	54628	45945	62110	54525	50973	45900	46492	43692
MVP	1387	1717	1504	1965	1348	1950	1721	2523	1210	1537	1282	2011
NUB1	2606	2904	3045	2853	3032	3475	3470	3811	3086	3643	3237	4127
PGM3	2152	1965	1618	1592	2497	2918	2430	2999	2474	2988	2600	3272
RWDD2A	467	477	347	316	682	740	663	837	658	744	807	898
CLK1	3523	3039	2675	1777	4905	4080	4386	5088	4749	5228	5842	5571
POLR3B	1403	1613	1358	1258	1397	1498	1279	1780	1235	1635	1413	1696
ANGEL1	4316	4408	3216	2654	3423	2770	2899	2410	2409	2389	2809	2727
RNF14	2748	2798	2223	1873	3245	3235	3234	3659	3235	3791	3994	5615
DNASE1L1	3762	3363	4476	3258	4228	3006	3719	2645	3376	2585	3355	2467
DDX11	4682	5329	5398	5058	4596	5265	4792	5765	4786	5313	4170	5491
HEBP1	10527	10739	8515	8227	11697	11523	13223	13116	9822	9501	10083	10991
GPRC5A	6798	6584	6318	4967	7979	6229	5368	4384	5275	4370	5506	4093
MAMLD1	673	686	558	443	596	545	586	567	543	644	665	708
CD6	2	3	3	1	0	1	3	0	2	1	2	2
TACC3	17219	19112	21699	23011	18679	24313	19311	23003	17167	20205	13991	19616
UFL1	946	792	724	357	1026	750	856	474	762	590	819	846
POLA2	6412	7293	7975	8483	7828	10323	8835	11481	7327	9439	7203	9476
ZC3H3	3315	3824	4245	4636	2356	3185	2781	3384	2426	3024	2168	3443
CAPN1	15733	20200	15217	19444	17192	25398	17242	25194	14053	20251	12826	21027
ACPP	127	48	85	44	86	58	73	44	51	32	61	43
MDH1	18184	20531	15613	18468	24198	32085	21912	32539	21338	27476	22539	31159
SLC30A9	2846	2732	1798	1314	3101	2945	3237	2780	2842	3123	3521	5201
MTMR11	737	868	1091	874	1197	1088	1290	1365	1119	1102	1206	1325
COX15	4470	4373	4876	4493	5101	5037	4485	4647	4679	4642	4976	5339
CCDC88C	3455	4595	3124	3604	2878	3797	2891	3414	2718	3471	2616	4080
YAF2	878	822	759	563	1288	1040	1294	1111	1301	1138	1250	1725
ZMYND11	8681	8830	6136	4913	9409	9248	10418	9470	8898	11120	10284	16518
WAS	266	291	329	332	248	231	192	226	191	243	185	240
DPEP1	4	2	1	0	0	4	0	2	0	1	0	0
BID	6489	6329	6598	5645	6451	5466	5816	4960	6134	5574	6118	5241
MATR3	14921	14174	10158	7355	16306	18801	18068	17188	15750	18855	16300	28218
NPC1L1	7	23	17	6	0	9	3	3	0	11	1	9
XYLT2	3373	3379	3248	2967	2527	2509	1825	1854	1805	2092	2027	2253
RGPD5	595	760	486	453	842	909	853	732	501	558	846	1167
STMN4	21	29	29	35	12	10	29	13	21	31	45	47
NUDCD3	4064	4467	4201	4042	4451	4420	3779	4157	3755	4055	3634	4087
ISL1	0	2	0	0	0	0	2	2	0	5	2	3
CHDH	1909	2093	1729	1607	1339	1469	1306	1248	1127	1319	1278	1368
IL20RA	88	80	38	48	103	83	129	68	63	70	104	61
CLCA1	0	0	0	0	0	0	0	0	0	0	0	0
CLCA4	0	0	0	0	0	0	0	0	0	0	0	0
GLT8D1	1984	1622	2008	1277	2644	1769	1925	1810	2008	1690	2273	1567
ATP2C1	2690	2546	1619	1067	2696	2352	1959	1817	1888	2124	2596	2612
IGF1	3	3	0	1	1	1	0	1	2	1	1	2
SLC38A5	25	16	13	9	12	9	8	5	15	25	16	21
RALBP1	5718	7274	5810	6512	6717	7458	6864	7973	7252	8756	6836	9790
RUFY3	773	871	802	709	913	930	1033	1069	1129	1018	988	1044
CNTN1	3	2	2	0	0	1	0	1	4	5	1	3
SLC11A1	138	116	139	116	124	107	118	105	109	112	97	103
WWTR1	815	755	870	773	916	880	890	930	1038	957	1003	1277
